node1,	node2,	dist,	visibility,	sound,	transitability,	lockable,	flow
8.1,	1.2,	17,	0,		0.33,	0,		0,		0
8.1,	1.3,	10,	0,		0.66,	0,		0,		0
8.1,	1.4,	7,	0,		0.66,	0,		0,		0
8.1,	1.5,	4,	1,		1,	1,		0,		2.5
8.1,	1.6,	6,	0,		0.66,	0,		0,		0
8.1,	4.1,	13,	0,		0.33,	0,		0,		0
8.1,	4.2,	8,	0,		0.66,	0,		0,		0
8.1,	4.3,	12,	0,		0.33,	0,		0,		0
8.1,	5.1,	12,	0,		0.33,	0,		0,		0
8.1,	5.2,	16,	0,		0.66,	0,		0,		0
8.1,	6.1,	5,	0,		0.66,	0,		0,		0
8.1,	6.2,	6,	0,		0.66,	0,		0,		0
8.1,	7.1,	8,	0,		0.66,	0,		0,		0
8.1,	7.2,	11,	0,		0.33,	0,		0,		0
8.1,	8.2,	4,	0,		1,	1,		0,		20
8.1,	9.1,	6,	0.6,		0.66,	0,		0,		0
8.1,	9.2,	9,	0.4,		0.66,	0,		0,		0
8.1,	10.1,	6,	0,		0.66,	0,		0,		0
8.1,	10.2,	10,	0,		0.66,	0,		0,		0
8.1,	11.1,	8,	0,		0.66,	0,		0,		0
8.1,	11.2,	13,	0,		0.33,	0,		0,		0
8.1,	12.1,	3,	0,		0.66,	0,		0,		0
8.1,	13.1,	6,	0,		0.66,	0,		0,		0
8.1,	14.1,	6,	0,		0.66,	0,		0,		0
8.1,	15.1,	9,	0,		0.66,	0,		0,		0
8.1,	16.1,	13,	0,		0.33,	0,		0,		0
8.1,	25.1,	10,	0,		0.66,	0,		0,		0
8.1,	26.1,	11,	0,		0.33,	0,		0,		0
8.1,	27.1,	13,	0,		0.33,	0,		0,		0
8.1,	38.1,	8,	0,		0.66,	0,		0,		0
8.1,	39.1,	9,	0,		0.66,	0,		0,		0
8.1,	40.1,	12,	0,		0.33,	0,		0,		0
8.1,	40.2,	13,	0,		0.33,	0,		0,		0

8.2,	1.3,	11,	0,		0.33,	0,		0,		0
8.2,	1.4,	9,	0,		0.66,	0,		0,		0
8.2,	1.5,	7,	0.8,		0.66,	0,		0,		0
8.2,	1.6,	8,	0,		0.66,	0,		0,		0
8.2,	4.1,	14,	0,		0.33,	0,		0,		0
8.2,	4.2,	9,	0,		0.66,	0,		0,		0
8.2,	4.3,	11,	0,		0.33,	0,		0,		0
8.2,	5.1,	15,	0,		0.33,	0,		0,		0
8.2,	6.1,	7,	0,		0.66,	0,		0,		0
8.2,	6.2,	5,	0,		0.66,	0,		0,		0
8.2,	7.1,	11,	0,		0.33,	0,		0,		0
8.2,	7.2,	15,	0,		0.33,	0,		0,		0
8.2,	8.1,	4,	0,		1,	1,		0,		20
8.2,	9.1,	10,	0.5,		0.66,	0,		0,		0
8.2,	9.2,	14,	0.3,		0.33,	0,		0,		0
8.2,	10.1,	6,	0,		0.66,	0,		0,		0
8.2,	10.2,	10,	0,		0.66,	0,		0,		0
8.2,	11.1,	13,	0,		0.33,	0,		0,		0
8.2,	12.1,	5,	0,		0.66,	0,		0,		0
8.2,	13.1,	9,	0,		0.66,	0,		0,		0
8.2,	14.1,	4,	0,		0.66,	0,		0,		0
